Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1484714106,2017-01-18T04:35:06Z,BAW32,"51.474735,-0.440641",0,29,180
1484714100,2017-01-18T04:35:00Z,BAW32,"51.475067,-0.440655",0,26,177
1484714094,2017-01-18T04:34:54Z,BAW32,"51.475353,-0.440622",0,24,165
1484714085,2017-01-18T04:34:45Z,BAW32,"51.475742,-0.440693",0,24,118
1484714079,2017-01-18T04:34:39Z,BAW32,"51.475895,-0.440998",0,22,95
1484714073,2017-01-18T04:34:33Z,BAW32,"51.475891,-0.441383",0,22,106
1484714064,2017-01-18T04:34:24Z,BAW32,"51.475929,-0.441971",0,22,140
1484714058,2017-01-18T04:34:18Z,BAW32,"51.476086,-0.442237",0,21,154
1484714037,2017-01-18T04:33:57Z,BAW32,"51.476742,-0.443058",0,30,115
1484714028,2017-01-18T04:33:48Z,BAW32,"51.477024,-0.444055",0,21,112
1484714022,2017-01-18T04:33:42Z,BAW32,"51.477268,-0.444927",0,20,109
1484714016,2017-01-18T04:33:36Z,BAW32,"51.477459,-0.4458",0,20,104
1484714010,2017-01-18T04:33:30Z,BAW32,"51.477592,-0.446777",0,26,95
1484714004,2017-01-18T04:33:24Z,BAW32,"51.477631,-0.448287",0,41,90
1484713998,2017-01-18T04:33:18Z,BAW32,"51.477608,-0.450532",0,60,90
1484713989,2017-01-18T04:33:09Z,BAW32,"51.477592,-0.455074",0,78,90
1484713980,2017-01-18T04:33:00Z,BAW32,"51.477573,-0.460869",0,92,90
1484713974,2017-01-18T04:32:54Z,BAW32,"51.477558,-0.465851",0,105,89
1484713968,2017-01-18T04:32:48Z,BAW32,"51.477493,-0.470705",0,117,89
1484713946,2017-01-18T04:32:26Z,BAW32,"51.477459,-0.49217",0,129,90
1484713923,2017-01-18T04:32:03Z,BAW32,"51.47731,-0.516506",0,132,90
1484713912,2017-01-18T04:31:52Z,BAW32,"51.47731,-0.524968",0,132,90
1484713892,2017-01-18T04:31:32Z,BAW32,"51.477261,-0.54471",250,133,90
1484713882,2017-01-18T04:31:22Z,BAW32,"51.477219,-0.55459",375,134,89
1484713872,2017-01-18T04:31:12Z,BAW32,"51.477169,-0.56453",500,134,89
1484713862,2017-01-18T04:31:02Z,BAW32,"51.477139,-0.57465",625,134,89
1484713852,2017-01-18T04:30:52Z,BAW32,"51.477089,-0.58411",750,135,89
1484713842,2017-01-18T04:30:42Z,BAW32,"51.477039,-0.594",875,140,89
1484713832,2017-01-18T04:30:32Z,BAW32,"51.47699,-0.60425",1000,147,89
1484713817,2017-01-18T04:30:17Z,BAW32,"51.476898,-0.62154",1225,159,89
1484713807,2017-01-18T04:30:07Z,BAW32,"51.476849,-0.63335",1375,160,89
1484713797,2017-01-18T04:29:57Z,BAW32,"51.476761,-0.64582",1550,159,89
1484713773,2017-01-18T04:29:33Z,BAW32,"51.476673,-0.674591",1925,159,90
1484713762,2017-01-18T04:29:22Z,BAW32,"51.476582,-0.68724",2075,159,89
1484713752,2017-01-18T04:29:12Z,BAW32,"51.47649,-0.70007",2250,159,89
1484713742,2017-01-18T04:29:02Z,BAW32,"51.47644,-0.7107",2375,160,89
1484713731,2017-01-18T04:28:51Z,BAW32,"51.476391,-0.72174",2525,160,89
1484713722,2017-01-18T04:28:42Z,BAW32,"51.476299,-0.73386",2675,161,89
1484713713,2017-01-18T04:28:33Z,BAW32,"51.476212,-0.74615",2850,164,89
1484713707,2017-01-18T04:28:27Z,BAW32,"51.47617,-0.75204",2925,166,89
1484713697,2017-01-18T04:28:17Z,BAW32,"51.47607,-0.76424",3075,169,89
1484713690,2017-01-18T04:28:10Z,BAW32,"51.476021,-0.77576",3225,174,89
1484713680,2017-01-18T04:28:00Z,BAW32,"51.475979,-0.78641",3350,179,89
1484713660,2017-01-18T04:27:40Z,BAW32,"51.475845,-0.811578",3675,182,90
1484713654,2017-01-18T04:27:34Z,BAW32,"51.475834,-0.819855",3800,182,89
1484713648,2017-01-18T04:27:28Z,BAW32,"51.4758,-0.82776",3900,182,89
1484713642,2017-01-18T04:27:22Z,BAW32,"51.475697,-0.836258",4000,181,89
1484713636,2017-01-18T04:27:16Z,BAW32,"51.475601,-0.844421",4125,181,89
1484713630,2017-01-18T04:27:10Z,BAW32,"51.475525,-0.852109",4200,180,89
1484713624,2017-01-18T04:27:04Z,BAW32,"51.475418,-0.860443",4325,179,89
1484713618,2017-01-18T04:26:58Z,BAW32,"51.475342,-0.868068",4400,180,89
1484713612,2017-01-18T04:26:52Z,BAW32,"51.475323,-0.876541",4525,181,90
1484713606,2017-01-18T04:26:46Z,BAW32,"51.475342,-0.884548",4600,180,90
1484713600,2017-01-18T04:26:40Z,BAW32,"51.475433,-0.892565",4675,177,90
1484713594,2017-01-18T04:26:34Z,BAW32,"51.47551,-0.900497",4700,178,91
1484713585,2017-01-18T04:26:25Z,BAW32,"51.475616,-0.912385",4750,178,90
1484713579,2017-01-18T04:26:19Z,BAW32,"51.475708,-0.920402",4775,178,90
1484713573,2017-01-18T04:26:13Z,BAW32,"51.475708,-0.927677",4800,178,90
1484713567,2017-01-18T04:26:07Z,BAW32,"51.475834,-0.935669",4850,179,92
1484713561,2017-01-18T04:26:01Z,BAW32,"51.476166,-0.943562",4875,180,97
1484713555,2017-01-18T04:25:55Z,BAW32,"51.477184,-0.951614",4900,181,107
1484713549,2017-01-18T04:25:49Z,BAW32,"51.479279,-0.959299",4925,182,120
1484713543,2017-01-18T04:25:43Z,BAW32,"51.481979,-0.965576",4975,182,127
1484713537,2017-01-18T04:25:37Z,BAW32,"51.485138,-0.972142",5000,182,127
1484713531,2017-01-18T04:25:31Z,BAW32,"51.488312,-0.978622",5025,183,128
1484713525,2017-01-18T04:25:25Z,BAW32,"51.491592,-0.984835",5050,184,132
1484713519,2017-01-18T04:25:19Z,BAW32,"51.495247,-0.990601",5075,187,140
1484713513,2017-01-18T04:25:13Z,BAW32,"51.499485,-0.995255",5100,192,153
1484713507,2017-01-18T04:25:07Z,BAW32,"51.504639,-0.998123",5125,196,169
1484713501,2017-01-18T04:25:01Z,BAW32,"51.510086,-0.998717",5150,200,184
1484713495,2017-01-18T04:24:55Z,BAW32,"51.51622,-0.996861",5175,203,197
1484713489,2017-01-18T04:24:49Z,BAW32,"51.521084,-0.993652",5200,205,209
1484713483,2017-01-18T04:24:43Z,BAW32,"51.525646,-0.988235",5225,207,224
1484713476,2017-01-18T04:24:36Z,BAW32,"51.529232,-0.980988",5300,209,238
1484713464,2017-01-18T04:24:24Z,BAW32,"51.533569,-0.963308",5325,208,252
1484713452,2017-01-18T04:24:12Z,BAW32,"51.536911,-0.945587",5325,208,253
1484713440,2017-01-18T04:24:00Z,BAW32,"51.540298,-0.927899",5325,209,253
1484713428,2017-01-18T04:23:48Z,BAW32,"51.543732,-0.909861",5325,208,253
1484713416,2017-01-18T04:23:36Z,BAW32,"51.547108,-0.892258",5350,208,253
1484713404,2017-01-18T04:23:24Z,BAW32,"51.550507,-0.874304",5350,210,253
1484713392,2017-01-18T04:23:12Z,BAW32,"51.55394,-0.856191",5300,220,253
1484713380,2017-01-18T04:23:00Z,BAW32,"51.557556,-0.836817",5325,232,253
1484713368,2017-01-18T04:22:48Z,BAW32,"51.56131,-0.816626",5325,243,253
1484713356,2017-01-18T04:22:36Z,BAW32,"51.565247,-0.795247",5325,252,253
1484713344,2017-01-18T04:22:24Z,BAW32,"51.569229,-0.773571",5375,252,253
1484713332,2017-01-18T04:22:12Z,BAW32,"51.573269,-0.752029",5475,253,252
1484713320,2017-01-18T04:22:00Z,BAW32,"51.577457,-0.730133",5575,253,252
1484713308,2017-01-18T04:21:48Z,BAW32,"51.581497,-0.709212",5675,253,252
1484713296,2017-01-18T04:21:36Z,BAW32,"51.585846,-0.686868",5775,254,252
1484713284,2017-01-18T04:21:24Z,BAW32,"51.58989,-0.665665",5875,256,252
1484713272,2017-01-18T04:21:12Z,BAW32,"51.594219,-0.642929",5975,258,253
1484713260,2017-01-18T04:21:00Z,BAW32,"51.598389,-0.620876",6075,259,253
1484713248,2017-01-18T04:20:48Z,BAW32,"51.602551,-0.598755",6175,260,252
1484713235,2017-01-18T04:20:35Z,BAW32,"51.606812,-0.576337",6275,259,252
1484713223,2017-01-18T04:20:23Z,BAW32,"51.610977,-0.554513",6400,259,252
1484713211,2017-01-18T04:20:11Z,BAW32,"51.615166,-0.532837",6525,259,252
1484713199,2017-01-18T04:19:59Z,BAW32,"51.619495,-0.510559",6650,260,252
1484713187,2017-01-18T04:19:47Z,BAW32,"51.623779,-0.48851",6750,261,252
1484713175,2017-01-18T04:19:35Z,BAW32,"51.628326,-0.465286",6875,262,252
1484713160,2017-01-18T04:19:20Z,BAW32,"51.633881,-0.437393",7025,261,251
1484713154,2017-01-18T04:19:14Z,BAW32,"51.636108,-0.426463",7100,262,251
1484713148,2017-01-18T04:19:08Z,BAW32,"51.638302,-0.415726",7150,262,252
1484713142,2017-01-18T04:19:02Z,BAW32,"51.640503,-0.40397",7225,262,254
1484713136,2017-01-18T04:18:56Z,BAW32,"51.642059,-0.39291",7300,260,260
1484713130,2017-01-18T04:18:50Z,BAW32,"51.64291,-0.381393",7400,260,267
1484713118,2017-01-18T04:18:38Z,BAW32,"51.642929,-0.358169",7500,261,270
1484713106,2017-01-18T04:18:26Z,BAW32,"51.642746,-0.334192",7600,262,270
1484713094,2017-01-18T04:18:14Z,BAW32,"51.642609,-0.311329",7725,264,270
1484713082,2017-01-18T04:18:02Z,BAW32,"51.642445,-0.287476",7875,268,270
1484713070,2017-01-18T04:17:50Z,BAW32,"51.642307,-0.262756",8050,269,270
1484713058,2017-01-18T04:17:38Z,BAW32,"51.64212,-0.238647",8200,269,270
